add rax, rax	4801c0	
add rax, r12	4c01e0	
add r12, rax	4901c4	
add r12, r12	4d01e4	
add qword ptr [rax], rax	480100	
add qword ptr [rax], r12	4c0120	
add qword ptr [r13 + r14*2], rax	4b01447500	
add qword ptr [r13 + r14*2], r12	4f01647500	
add rax, rax	4801c0	
add rax, r12	4c01e0	
add rax, qword ptr [rax]	480300	
add rax, qword ptr [r13 + r14*2]	4b03447500	
add r12, rax	4901c4	
add r12, r12	4d01e4	
add r12, qword ptr [rax]	4c0320	
add r12, qword ptr [r13 + r14*2]	4f03647500	
add rax, 0x7fffffff	4805ffffff7f	
add r12, 0x7fffffff	4981c4ffffff7f	
add qword ptr [rax], 0x7fffffff	488100ffffff7f	
add qword ptr [r13 + r14*2], 0x7fffffff	4b81447500ffffff7f	
add rax, 0x7f	4883c07f	
add r12, 0x7f	4983c47f	
add qword ptr [rax], 0x7f	4883007f	
add qword ptr [r13 + r14*2], 0x7f	4b834475007f	
add eax, eax	01c0	
add eax, r11d	4401d8	
add eax, dword ptr [rax]	0300	
add eax, dword ptr [r13 + r14*2]	4303447500	
add r11d, eax	4101c3	
add r11d, r11d	4501db	
add r11d, dword ptr [rax]	440318	
add r11d, dword ptr [r13 + r14*2]	47035c7500	
add al, al	00c0	
add al, r9b	4400c8	
add r9b, al	4100c1	
add r9b, r9b	4500c9	
add byte ptr [rax], al	0000	
add byte ptr [rax], r9b	440008	
add byte ptr [r13 + r14*2], al	4300447500	
add byte ptr [r13 + r14*2], r9b	47004c7500	
or rax, rax	4809c0	
or rax, r12	4c09e0	
or r12, rax	4909c4	
or r12, r12	4d09e4	
or qword ptr [rax], rax	480900	
or qword ptr [rax], r12	4c0920	
or qword ptr [r13 + r14*2], rax	4b09447500	
or qword ptr [r13 + r14*2], r12	4f09647500	
or rax, rax	4809c0	
or rax, r12	4c09e0	
or rax, qword ptr [rax]	480b00	
or rax, qword ptr [r13 + r14*2]	4b0b447500	
or r12, rax	4909c4	
or r12, r12	4d09e4	
or r12, qword ptr [rax]	4c0b20	
or r12, qword ptr [r13 + r14*2]	4f0b647500	
or rax, 0x7fffffff	480dffffff7f	
or r12, 0x7fffffff	4981ccffffff7f	
or qword ptr [rax], 0x7fffffff	488108ffffff7f	
or qword ptr [r13 + r14*2], 0x7fffffff	4b814c7500ffffff7f	
or rax, 0x7f	4883c87f	
or r12, 0x7f	4983cc7f	
or qword ptr [rax], 0x7f	4883087f	
or qword ptr [r13 + r14*2], 0x7f	4b834c75007f	
or eax, eax	09c0	
or eax, r11d	4409d8	
or eax, dword ptr [rax]	0b00	
or eax, dword ptr [r13 + r14*2]	430b447500	
or r11d, eax	4109c3	
or r11d, r11d	4509db	
or r11d, dword ptr [rax]	440b18	
or r11d, dword ptr [r13 + r14*2]	470b5c7500	
or al, al	08c0	
or al, r9b	4408c8	
or r9b, al	4108c1	
or r9b, r9b	4508c9	
or byte ptr [rax], al	0800	
or byte ptr [rax], r9b	440808	
or byte ptr [r13 + r14*2], al	4308447500	
or byte ptr [r13 + r14*2], r9b	47084c7500	
adc rax, rax	4811c0	
adc rax, r12	4c11e0	
adc r12, rax	4911c4	
adc r12, r12	4d11e4	
adc qword ptr [rax], rax	481100	
adc qword ptr [rax], r12	4c1120	
adc qword ptr [r13 + r14*2], rax	4b11447500	
adc qword ptr [r13 + r14*2], r12	4f11647500	
adc rax, rax	4811c0	
adc rax, r12	4c11e0	
adc rax, qword ptr [rax]	481300	
adc rax, qword ptr [r13 + r14*2]	4b13447500	
adc r12, rax	4911c4	
adc r12, r12	4d11e4	
adc r12, qword ptr [rax]	4c1320	
adc r12, qword ptr [r13 + r14*2]	4f13647500	
adc rax, 0x7fffffff	4815ffffff7f	
adc r12, 0x7fffffff	4981d4ffffff7f	
adc qword ptr [rax], 0x7fffffff	488110ffffff7f	
adc qword ptr [r13 + r14*2], 0x7fffffff	4b81547500ffffff7f	
adc rax, 0x7f	4883d07f	
adc r12, 0x7f	4983d47f	
adc qword ptr [rax], 0x7f	4883107f	
adc qword ptr [r13 + r14*2], 0x7f	4b835475007f	
adc eax, eax	11c0	
adc eax, r11d	4411d8	
adc eax, dword ptr [rax]	1300	
adc eax, dword ptr [r13 + r14*2]	4313447500	
adc r11d, eax	4111c3	
adc r11d, r11d	4511db	
adc r11d, dword ptr [rax]	441318	
adc r11d, dword ptr [r13 + r14*2]	47135c7500	
adc al, al	10c0	
adc al, r9b	4410c8	
adc r9b, al	4110c1	
adc r9b, r9b	4510c9	
adc byte ptr [rax], al	1000	
adc byte ptr [rax], r9b	441008	
adc byte ptr [r13 + r14*2], al	4310447500	
adc byte ptr [r13 + r14*2], r9b	47104c7500	
sbb rax, rax	4819c0	
sbb rax, r12	4c19e0	
sbb r12, rax	4919c4	
sbb r12, r12	4d19e4	
sbb qword ptr [rax], rax	481900	
sbb qword ptr [rax], r12	4c1920	
sbb qword ptr [r13 + r14*2], rax	4b19447500	
sbb qword ptr [r13 + r14*2], r12	4f19647500	
sbb rax, rax	4819c0	
sbb rax, r12	4c19e0	
sbb rax, qword ptr [rax]	481b00	
sbb rax, qword ptr [r13 + r14*2]	4b1b447500	
sbb r12, rax	4919c4	
sbb r12, r12	4d19e4	
sbb r12, qword ptr [rax]	4c1b20	
sbb r12, qword ptr [r13 + r14*2]	4f1b647500	
sbb rax, 0x7fffffff	481dffffff7f	
sbb r12, 0x7fffffff	4981dcffffff7f	
sbb qword ptr [rax], 0x7fffffff	488118ffffff7f	
sbb qword ptr [r13 + r14*2], 0x7fffffff	4b815c7500ffffff7f	
sbb rax, 0x7f	4883d87f	
sbb r12, 0x7f	4983dc7f	
sbb qword ptr [rax], 0x7f	4883187f	
sbb qword ptr [r13 + r14*2], 0x7f	4b835c75007f	
sbb eax, eax	19c0	
sbb eax, r11d	4419d8	
sbb eax, dword ptr [rax]	1b00	
sbb eax, dword ptr [r13 + r14*2]	431b447500	
